
  .   ____          _            __ _ _
 /\\ / ___'_ __ _ _(_)_ __  __ _ \ \ \ \
( ( )\___ | '_ | '_| | '_ \/ _` | \ \ \ \
 \\/  ___)| |_)| | | | | || (_| |  ) ) ) )
  '  |____| .__|_| |_|_| |_\__, | / / / /
 =========|_|==============|___/=/_/_/_/

 :: Spring Boot ::                (v3.3.4)

2024-12-19T13:59:11.538+05:30  INFO 1968086 --- [contenttree] [           main] com.contenttree.ContenttreeApplication   : Starting ContenttreeApplication v0.0.1-SNAPSHOT using Java 17.0.13 with PID 1968086 (/var/www/infiniteb2b/springboot/jar/infiniteb2b.jar started by root in /)
2024-12-19T13:59:11.541+05:30  INFO 1968086 --- [contenttree] [           main] com.contenttree.ContenttreeApplication   : No active profile set, falling back to 1 default profile: "default"
2024-12-19T13:59:11.541+05:30 DEBUG 1968086 --- [contenttree] [           main] o.s.boot.SpringApplication               : Loading source class com.contenttree.ContenttreeApplication
2024-12-19T13:59:11.591+05:30 DEBUG 1968086 --- [contenttree] [           main] ConfigServletWebServerApplicationContext : Refreshing org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@14a50707
2024-12-19T13:59:11.626+05:30 DEBUG 1968086 --- [contenttree] [           main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.context.annotation.internalConfigurationAnnotationProcessor'
2024-12-19T13:59:11.643+05:30 DEBUG 1968086 --- [contenttree] [           main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.internalCachingMetadataReaderFactory'
2024-12-19T13:59:11.717+05:30 DEBUG 1968086 --- [contenttree] [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:nested:/var/www/infiniteb2b/springboot/jar/infiniteb2b.jar/!BOOT-INF/classes/!/com/contenttree/home/HomePageController.class]
2024-12-19T13:59:11.724+05:30 DEBUG 1968086 --- [contenttree] [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:nested:/var/www/infiniteb2b/springboot/jar/infiniteb2b.jar/!BOOT-INF/classes/!/com/contenttree/Blogs/BlogsController.class]
2024-12-19T13:59:11.726+05:30 DEBUG 1968086 --- [contenttree] [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:nested:/var/www/infiniteb2b/springboot/jar/infiniteb2b.jar/!BOOT-INF/classes/!/com/contenttree/solutionsets/SolutionSetsService.class]
2024-12-19T13:59:11.729+05:30 DEBUG 1968086 --- [contenttree] [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Ignored because not a concrete top-level class: URL [jar:nested:/var/www/infiniteb2b/springboot/jar/infiniteb2b.jar/!BOOT-INF/classes/!/com/contenttree/solutionsets/SolutionSetsRepository.class]
2024-12-19T13:59:11.729+05:30 DEBUG 1968086 --- [contenttree] [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:nested:/var/www/infiniteb2b/springboot/jar/infiniteb2b.jar/!BOOT-INF/classes/!/com/contenttree/solutionsets/SolutionSetMapper.class]
